model_id,split,judge_id,coverage,false_accept_rate,accepted_count,false_accept_count,mean_error_accepted,mean_error_rejected,threshold
hold_last,id_test,support_only_local,0.05,0.6,5,3,0.2695953095485775,0.5255572463636853,0.15
hold_last,id_test,support_only_local,0.1,0.6,10,6,0.24633997854491801,0.5423612796315977,0.15
hold_last,ood_action_magnitude,support_only_local,0.05,1.0,5,5,0.5831998445911953,0.6407718668854713,0.15
hold_last,ood_action_magnitude,support_only_local,0.1,0.9,10,9,0.5381239458397791,0.6489787457630883,0.15
hold_last,ood_combined,support_only_local,0.05,1.0,5,5,0.5611511865631015,0.7032171821869461,0.15
hold_last,ood_combined,support_only_local,0.1,1.0,10,10,0.6927828904432769,0.6964839926238067,0.15
hold_last,ood_inflow_spike,support_only_local,0.05,1.0,5,5,0.5336264541346022,0.6031821391792328,0.15
hold_last,ood_inflow_spike,support_only_local,0.1,1.0,10,10,0.485742215542424,0.6123668148586211,0.15
linear_narx,id_test,support_only_local,0.05,0.0,5,0,0.005562717981687287,0.008292942305965709,0.15
linear_narx,id_test,support_only_local,0.1,0.0,10,0,0.011439688748534576,0.007791624683220365,0.15
linear_narx,ood_action_magnitude,support_only_local,0.05,1.0,5,5,0.39014743035722027,0.4022574060594486,0.15
linear_narx,ood_action_magnitude,support_only_local,0.1,1.0,10,10,0.3925161855634467,0.40266698746443624,0.15
linear_narx,ood_combined,support_only_local,0.05,1.0,5,5,0.3485795057413813,0.36823316512402904,0.15
linear_narx,ood_combined,support_only_local,0.1,1.0,10,10,0.3470477939422228,0.36949522528963824,0.15
linear_narx,ood_inflow_spike,support_only_local,0.05,0.0,5,0,0.03579820391430329,0.035213712346708524,0.15
linear_narx,ood_inflow_spike,support_only_local,0.1,0.0,10,0,0.03490545964514495,0.03528043440063752,0.15
mlp_state_space,id_test,support_only_local,0.05,0.0,5,0,0.0005969305679504196,0.0008192740169066451,0.15
mlp_state_space,id_test,support_only_local,0.1,0.0,10,0,0.001041821492923742,0.0007821941057405105,0.15
mlp_state_space,ood_action_magnitude,support_only_local,0.05,1.0,5,5,0.2652159106616841,0.2715967179300993,0.15
mlp_state_space,ood_action_magnitude,support_only_local,0.1,1.0,10,10,0.2635635071966359,0.2721348076077944,0.15
mlp_state_space,ood_combined,support_only_local,0.05,1.0,5,5,0.3604839199304638,0.36681225986054644,0.15
mlp_state_space,ood_combined,support_only_local,0.1,1.0,10,10,0.35941616571575985,0.3672824736582958,0.15
mlp_state_space,ood_inflow_spike,support_only_local,0.05,1.0,5,5,0.18899802095666648,0.19170551863729612,0.15
mlp_state_space,ood_inflow_spike,support_only_local,0.1,1.0,10,10,0.18967641065744073,0.19178055854168952,0.15
