system_id,model_id,split,rmse_mean,rmse_median,mae_mean,max_abs_error_mean,final_state_error_mean,n_scenarios
two_tank,hold_last,id_test,0.5048064156567844,0.45912660295057717,0.47353298383409625,0.7096859073308535,0.8427546619256446,50
two_tank,hold_last,ood_action_magnitude,0.6016200609782537,0.6173896539004475,0.5801829291163908,0.7622080434180853,0.9113896024257818,50
two_tank,hold_last,ood_combined,0.6992563252879798,0.6727717037328755,0.568182068572312,1.3205939328942093,1.377077453334379,50
two_tank,hold_last,ood_inflow_spike,0.5933418494397587,0.5293937555550909,0.49234976217710097,1.053281274720092,1.0897216977215924,50
two_tank,linear_narx,id_test,0.0077536064125858055,0.007356856740954453,0.006317011493549824,0.015780525217443414,0.008633505892006298,50
two_tank,linear_narx,ood_action_magnitude,0.40569452940158074,0.39996280784989224,0.3716612367593749,0.5323236953884098,0.6182477106702431,50
two_tank,linear_narx,ood_combined,0.3707536928512009,0.37000104674749335,0.2732721465816732,0.6414413941691909,0.9015933274907131,50
two_tank,linear_narx,ood_inflow_spike,0.03566739393464977,0.03389007113339698,0.022682463647496612,0.10418169539264072,0.006875239502590577,50
two_tank,mlp_state_space,id_test,0.001179968125772001,0.0009934750654998995,0.0009932253127715352,0.002424870300843187,0.0019222430651500344,50
two_tank,mlp_state_space,ood_action_magnitude,0.2552151284840361,0.25960094198898875,0.22761760846541473,0.40500774598677625,0.4582877247877006,50
two_tank,mlp_state_space,ood_combined,0.353949420311843,0.3540930181695331,0.213305667241029,0.9288421978535425,0.9471569779126817,50
two_tank,mlp_state_space,ood_inflow_spike,0.18352999991413438,0.1832808772859184,0.14354244719810708,0.3333057573583412,0.3272562444626259,50
