split,role,scenario_type,action_range,hot_inlet_range,cold_inlet_range,ood_differs_from_id
judge_calibration_id,judge_calibration,id,0.5118141526066298,7.857742737959555,3.244484841969495,False
judge_calibration_inlet_temperature_spike,judge_calibration,inlet_temperature_spike,0.48950136378902265,48.85485394715508,3.473371194381393,False
judge_calibration_flow_rate_shift,judge_calibration,flow_rate_shift,1.353467214068214,7.433518275106081,7.023302083456553,False
judge_calibration_cooling_or_heating_change,judge_calibration,cooling_or_heating_change,1.6808050108746313,7.345581932949244,2.990771534744468,False
judge_calibration_heat_transfer_coefficient_shift,judge_calibration,heat_transfer_coefficient_shift,1.055012665359603,21.3411083576584,3.3094647722965504,False
judge_calibration_combined_disturbance_shift,judge_calibration,combined_disturbance_shift,1.2447584203636004,38.712179783893475,7.682633263389313,False
judge_calibration_unsafe_outlet_temperature_event,judge_calibration,unsafe_outlet_temperature_event,1.1901992400497974,63.45650933309071,10.403346566421963,False
judge_test_id,judge_test,id,0.518987599827065,7.66820447233961,3.3121972359839944,False
judge_test_inlet_temperature_spike,judge_test,inlet_temperature_spike,0.49204077019555514,49.230013095131696,3.202209316673425,True
judge_test_flow_rate_shift,judge_test,flow_rate_shift,1.4322040489525099,7.1829557892462645,7.3359222827368065,True
judge_test_cooling_or_heating_change,judge_test,cooling_or_heating_change,1.6426345559938198,8.008508395744414,3.8050442332639527,True
judge_test_heat_transfer_coefficient_shift,judge_test,heat_transfer_coefficient_shift,1.0302729675417348,20.20739648349671,3.688596388620116,True
judge_test_combined_disturbance_shift,judge_test,combined_disturbance_shift,1.210993282497058,39.556902324685694,8.086470404719602,True
judge_test_unsafe_outlet_temperature_event,judge_test,unsafe_outlet_temperature_event,1.2767504990231247,62.658705778421165,10.05247383691449,True
