model_id,split,role,scenario_type,rmse_mean,rmse_min,rmse_max
hold_last,judge_calibration_id,judge_calibration,id,4.187189007792096,3.1975382655248485,5.27805988779188
hold_last,judge_calibration_inlet_temperature_spike,judge_calibration,inlet_temperature_spike,6.248291400563941,5.5343631145470304,7.594292378480521
hold_last,judge_calibration_flow_rate_shift,judge_calibration,flow_rate_shift,3.400268913533721,2.406629788580912,4.0977587481007465
hold_last,judge_calibration_cooling_or_heating_change,judge_calibration,cooling_or_heating_change,3.7745176426828517,2.85493084683593,4.754132325499052
hold_last,judge_calibration_heat_transfer_coefficient_shift,judge_calibration,heat_transfer_coefficient_shift,5.7560579645325145,4.960872810920965,6.540449457182932
hold_last,judge_calibration_combined_disturbance_shift,judge_calibration,combined_disturbance_shift,6.411421426871665,5.710016334319226,7.269025191157599
hold_last,judge_calibration_unsafe_outlet_temperature_event,judge_calibration,unsafe_outlet_temperature_event,12.036672530400404,11.498309631252832,12.562311185008069
hold_last,judge_test_id,judge_test,id,4.0968645868362055,3.2802456372019626,5.114773000098245
hold_last,judge_test_inlet_temperature_spike,judge_test,inlet_temperature_spike,6.743777295116063,6.1579880393148665,7.613461846374264
hold_last,judge_test_flow_rate_shift,judge_test,flow_rate_shift,3.252785193978525,2.6554510166181986,4.121254645226547
hold_last,judge_test_cooling_or_heating_change,judge_test,cooling_or_heating_change,4.13095749735391,3.2695166077019255,5.0601599251307094
hold_last,judge_test_heat_transfer_coefficient_shift,judge_test,heat_transfer_coefficient_shift,5.687388451664356,4.722352087419958,6.243965703312338
hold_last,judge_test_combined_disturbance_shift,judge_test,combined_disturbance_shift,6.23494565629566,5.417571025197297,7.278085167310918
hold_last,judge_test_unsafe_outlet_temperature_event,judge_test,unsafe_outlet_temperature_event,12.124955411569289,11.099101372820433,12.928175315650742
linear_narx,judge_calibration_id,judge_calibration,id,0.0034907319037271265,0.0020877126953883036,0.0062935636034505285
linear_narx,judge_calibration_inlet_temperature_spike,judge_calibration,inlet_temperature_spike,0.020322938401763833,0.01722573196729884,0.023298081038228193
linear_narx,judge_calibration_flow_rate_shift,judge_calibration,flow_rate_shift,0.05352609396797631,0.020852414839052955,0.0780115314543732
linear_narx,judge_calibration_cooling_or_heating_change,judge_calibration,cooling_or_heating_change,0.03061167982682414,0.014317959582899963,0.04718340831774005
linear_narx,judge_calibration_heat_transfer_coefficient_shift,judge_calibration,heat_transfer_coefficient_shift,0.029104320117504603,0.011203730669003641,0.04688096463958822
linear_narx,judge_calibration_combined_disturbance_shift,judge_calibration,combined_disturbance_shift,0.05337134545110427,0.02206324993145482,0.07245712357187298
linear_narx,judge_calibration_unsafe_outlet_temperature_event,judge_calibration,unsafe_outlet_temperature_event,0.06709067098907953,0.04478888894194724,0.0890201410212143
linear_narx,judge_test_id,judge_test,id,0.0035918903378766394,0.002089898710311162,0.007235425002680346
linear_narx,judge_test_inlet_temperature_spike,judge_test,inlet_temperature_spike,0.0186277054469581,0.016380762813745967,0.021845536167733125
linear_narx,judge_test_flow_rate_shift,judge_test,flow_rate_shift,0.0362374764618623,0.010448886271649303,0.07055119871625382
linear_narx,judge_test_cooling_or_heating_change,judge_test,cooling_or_heating_change,0.028688432216716176,0.010042541677570916,0.054908072108822314
linear_narx,judge_test_heat_transfer_coefficient_shift,judge_test,heat_transfer_coefficient_shift,0.03398704631553755,0.023919884603963028,0.0415335784398192
linear_narx,judge_test_combined_disturbance_shift,judge_test,combined_disturbance_shift,0.054571981035073935,0.02350107818063406,0.07376843997499959
linear_narx,judge_test_unsafe_outlet_temperature_event,judge_test,unsafe_outlet_temperature_event,0.07014803948742775,0.03848310581851836,0.11901437722809485
