system_id,badness_target,coverage,calibration_selected_candidate_ranker,oracle_error_rank,primary_minus_oracle_far
cstr,bad_event,0.05,0.045,0.0,0.045
cstr,bad_event,0.1,0.04571428571428569,0.0,0.04571428571428569
cstr,bad_rmse,0.05,0.17833333333333334,0.12583333333333332,0.05250000000000002
cstr,bad_rmse,0.1,0.1780952380952381,0.1480952380952381,0.03
cstr,bad_rmse_or_event,0.05,0.17833333333333334,0.12583333333333332,0.05250000000000002
cstr,bad_rmse_or_event,0.1,0.1780952380952381,0.1480952380952381,0.03
heat_exchanger,bad_event,0.05,0.22,0.0,0.22
heat_exchanger,bad_event,0.1,0.22,0.011428571428571425,0.20857142857142857
heat_exchanger,bad_rmse,0.05,0.22083333333333333,0.21083333333333334,0.009999999999999981
heat_exchanger,bad_rmse,0.1,0.23666666666666666,0.23285714285714287,0.0038095238095237904
heat_exchanger,bad_rmse_or_event,0.05,0.22583333333333333,0.21166666666666667,0.01416666666666666
heat_exchanger,bad_rmse_or_event,0.1,0.2476190476190476,0.23476190476190475,0.012857142857142845
two_tank,bad_event,0.05,0.0,0.0,0.0
two_tank,bad_event,0.1,0.0,0.0,0.0
two_tank,bad_rmse,0.05,0.10111111111111111,0.03333333333333333,0.06777777777777777
two_tank,bad_rmse,0.1,0.11,0.04733333333333334,0.06266666666666666
two_tank,bad_rmse_or_event,0.05,0.10111111111111111,0.03333333333333333,0.06777777777777777
two_tank,bad_rmse_or_event,0.1,0.11,0.04733333333333334,0.06266666666666666
